PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2011,OCTOBER,1,Justice League,2,3.99,DC,180709
COMIC,2011,OCTOBER,2,Batman,2,2.99,DC,172428
COMIC,2011,OCTOBER,3,Action Comics,2,3.99,DC,153855
COMIC,2011,OCTOBER,4,Green Lantern,2,2.99,DC,142344
COMIC,2011,OCTOBER,5,Flash,2,2.99,DC,114137
COMIC,2011,OCTOBER,6,Detective Comics,2*,2.99,DC,110789
COMIC,2011,OCTOBER,7,Incredible Hulk,1,3.99,Marvel,106472
COMIC,2011,OCTOBER,8,Wolverine And X-Men,1,3.99,Marvel,95855
COMIC,2011,OCTOBER,9,Fear Itself,7,4.99,Marvel,95599
COMIC,2011,OCTOBER,10,Superman,2*,2.99,DC,94233
COMIC,2011,OCTOBER,11,Batman The Dark Knight,2*,2.99,DC,90445
COMIC,2011,OCTOBER,12,Batman And Robin,2*,2.99,DC,88926
COMIC,2011,OCTOBER,13,Wonder Woman,2,2.99,DC,79060
COMIC,2011,OCTOBER,14,Batgirl,2*,2.99,DC,75227
COMIC,2011,OCTOBER,15,Batwoman,2,2.99,DC,74392
COMIC,2011,OCTOBER,16,Teen Titans,2*,2.99,DC,72107
COMIC,2011,OCTOBER,17,Green Lantern New Guardians,2,2.99,DC,71713
COMIC,2011,OCTOBER,18,Aquaman,2*,2.99,DC,71240
COMIC,2011,OCTOBER,19,Green Lantern Corps,2*,2.99,DC,70651
COMIC,2011,OCTOBER,20,Red Lanterns,2*,2.99,DC,66747
COMIC,2011,OCTOBER,21,Nightwing,2*,2.99,DC,65749
COMIC,2011,OCTOBER,22,Uncanny X-Men,544,3.99,Marvel,60212
COMIC,2011,OCTOBER,23,Justice League International,2*,2.99,DC,59490
COMIC,2011,OCTOBER,24,Fear Itself Fearless,1,2.99,Marvel,59464
COMIC,2011,OCTOBER,25,Amazing Spider-Man,671,3.99,Marvel,59426
COMIC,2011,OCTOBER,26,Avengers,18,3.99,Marvel,58897
COMIC,2011,OCTOBER,27,Swamp Thing,2,2.99,DC,58634
COMIC,2011,OCTOBER,28,Amazing Spider-Man,672,3.99,Marvel,57860
COMIC,2011,OCTOBER,29,Catwoman,2*,2.99,DC,57216
COMIC,2011,OCTOBER,30,Justice League Dark,2*,2.99,DC,57053
COMIC,2011,OCTOBER,31,X-Men Regenesis,1,3.99,Marvel,55787
COMIC,2011,OCTOBER,32,New Avengers,17,3.99,Marvel,55732
COMIC,2011,OCTOBER,33,Supergirl,2*,2.99,DC,55249
COMIC,2011,OCTOBER,34,X-Men Schism,5,3.99,Marvel,55081
COMIC,2011,OCTOBER,35,Red Hood And The Outlaws,2*,2.99,DC,53444
COMIC,2011,OCTOBER,36,Green Arrow,2*,2.99,DC,52837
COMIC,2011,OCTOBER,37,Ultimate Comics Spider-Man,3,3.99,Marvel,52521
COMIC,2011,OCTOBER,38,Uncanny X-Force,16,3.99,Marvel,52398
COMIC,2011,OCTOBER,39,Superboy,2*,2.99,DC,51682
COMIC,2011,OCTOBER,40,FF,10,2.99,Marvel,49642
COMIC,2011,OCTOBER,41,FF,11,2.99,Marvel,48433
COMIC,2011,OCTOBER,42,Animal Man,2*,2.99,DC,48089
COMIC,2011,OCTOBER,43,Birds of Prey,2*,2.99,DC,47840
COMIC,2011,OCTOBER,44,Stormwatch,2,2.99,DC,47520
COMIC,2011,OCTOBER,45,Suicide Squad,2*,2.99,DC,44613
COMIC,2011,OCTOBER,46,Ultimate Comics X-Men,2,3.99,Marvel,44399
COMIC,2011,OCTOBER,47,Mighty Thor,7,3.99,Marvel,44017
COMIC,2011,OCTOBER,48,Secret Avengers,18,3.99,Marvel,43280
COMIC,2011,OCTOBER,49,Savage Hawkman,2*,2.99,DC,42987
COMIC,2011,OCTOBER,50,Legion of Super Heroes,2*,2.99,DC,42504
COMIC,2011,OCTOBER,51,X-Men,19,3.99,Marvel,40906
COMIC,2011,OCTOBER,52,Ultimate Comics Ultimates,3,3.99,Marvel,40792
COMIC,2011,OCTOBER,53,Deathstroke,2*,2.99,DC,40182
COMIC,2011,OCTOBER,54,Fury of Firestorm The Nuclear Men,2*,2.99,DC,39591
COMIC,2011,OCTOBER,55,Daredevil,5,2.99,Marvel,39413
COMIC,2011,OCTOBER,56,Wolverine,17,3.99,Marvel,39405
COMIC,2011,OCTOBER,57,Invincible Iron Man,509,3.99,Marvel,38721
COMIC,2011,OCTOBER,58,Batwing,2*,2.99,DC,38475
COMIC,2011,OCTOBER,59,Legion Lost,2*,2.99,DC,38385
COMIC,2011,OCTOBER,60,Legion Secret Origin,1,2.99,DC,38248
COMIC,2011,OCTOBER,61,X-Men Legacy,257,2.99,Marvel,38070
COMIC,2011,OCTOBER,62,Demon Knights,2*,2.99,DC,38007
COMIC,2011,OCTOBER,63,DC Universe Presents,2*,2.99,DC,37426
COMIC,2011,OCTOBER,64,"Buffy the Vampire Slayer Season 9Freefall",2,2.99,Dark Horse,36448
COMIC,2011,OCTOBER,65,Frankenstein Agent of Shade,2*,2.99,DC,36381
COMIC,2011,OCTOBER,66,Huntress,1,2.99,DC,36099
COMIC,2011,OCTOBER,67,Grifter,2*,2.99,DC,35910
COMIC,2011,OCTOBER,68,All Star Western,2*,3.99,DC,35871
COMIC,2011,OCTOBER,69,Blue Beetle,2*,2.99,DC,35456
COMIC,2011,OCTOBER,70,Resurrection Man,2*,2.99,DC,34704
COMIC,2011,OCTOBER,71,Captain Atom,2*,2.99,DC,34478
COMIC,2011,OCTOBER,72,Astonishing X-Men,43,3.99,Marvel,32620
COMIC,2011,OCTOBER,73,Hawk And Dove,2*,2.99,DC,32461
COMIC,2011,OCTOBER,74,Avengers 1959,1,2.99,Marvel,32418
COMIC,2011,OCTOBER,75,Mister Terrific,2*,2.99,DC,32367
COMIC,2011,OCTOBER,76,Venom,8,2.99,Marvel,32266
COMIC,2011,OCTOBER,77,Captain America And Bucky,623,2.99,Marvel,32041
COMIC,2011,OCTOBER,78,Walking Dead,90,2.99,Image,31778
COMIC,2011,OCTOBER,79,Walking Dead,89,2.99,Image,31351
COMIC,2011,OCTOBER,80,Voodoo,2,2.99,DC,31221
COMIC,2011,OCTOBER,81,I Vampire,2*,2.99,DC,31139
COMIC,2011,OCTOBER,82,Shade,1,2.99,DC,30648
COMIC,2011,OCTOBER,83,Batman Odyssey Vol. 2,1,3.99,DC,30410
COMIC,2011,OCTOBER,84,Omac,2*,2.99,DC,29434
COMIC,2011,OCTOBER,85,Static Shock,2*,2.99,DC,29124
COMIC,2011,OCTOBER,86,Blackhawks,2*,2.99,DC,28534
COMIC,2011,OCTOBER,87,Men of War,2*,3.99,DC,28301
COMIC,2011,OCTOBER,88,Aquaman,1,2.99,DC,28243
COMIC,2011,OCTOBER,89,Journey Into Mystery,629,2.99,Marvel,28054
COMIC,2011,OCTOBER,90,Journey Into Mystery,630,2.99,Marvel,27701
COMIC,2011,OCTOBER,91,Deadpool,45,2.99,Marvel,27552
COMIC,2011,OCTOBER,92,Moon Knight,6,3.99,Marvel,27493
COMIC,2011,OCTOBER,93,Green Lantern,1,2.99,DC,27477
COMIC,2011,OCTOBER,94,Hulk,42,2.99,Marvel,27025
COMIC,2011,OCTOBER,95,Deadpool,44,2.99,Marvel,26878
