9971,Lady Deadpool (2010),2010,2010,
20659,Lando (2015 - Present),2015,2099,
19044,Legendary Star-Lord (2014 - Present),2014,2099,
9914,Legion of Monsters (2011 - 2012),2011,2012,
3899,Legion of Monsters (1975),1975,1975,
1877,Legion of Monsters: Man-Thing (2007),2007,2007,PARENTAL ADVISORY
2208,Legion of Monsters: Morbius (2007),2007,2007,PARENTAL ADVISORY
2412,Legion of Monsters: Satana (2007),2007,2007,PARENTAL ADVISORY
1876,Legion of Monsters: Werewolf by Night (2007),2007,2007,PARENTAL ADVISORY
19061,Lexus Presents: Marvel's Agents of S.H.I.E.L.D in THE CHASE (2014),2014,2014,
9336,Lockjaw and the Pet Avengers Unleashed (2010),2010,2010,
3953,Logan (2008),2008,2008,Parental Advisory
530,Loki (2004),2004,2004,MARVEL PSR
10830,Loki (2010 - 2011),2010,2011,
18340,Loki: Agent of Asgard (2014 - Present),2014,2099,Rated T+
18464,Longshot Saves the Marvel Universe (2013 - Present),2013,2099,Rated T+
1879,Lords of Avalon (2007 - 2009),2007,2009,Rated T+
3824,Lords of Avalon: Sword of Darkness (2008),2008,2008,Parental Advisory
16355,Lorna the Jungle Girl (1954 - 1957),1954,1957,
16356,Lorna the Jungle Queen (1953 - 1954),1953,1954,
7950,Luke Cage Noir (2009 - 2010),2009,2010,
7302,"Luke Cage, Hero for Hire (1972)",1972,1972,
